"序号","标题","发布日期","来源网站","网址","来源栏目","证据类型","结构线索摘录","正文验证","正文验证说明","采集说明"
"134","区政府第55次常务会议纪要","2026-02-14","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2026/CFHMLBAH_0214/33088.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","容概述： 2026年2月4日下午，区委副书记、区长李皓在天宁科技促进中心2306会议室，主持召开区政府第55次常务会议。纪要如下： 区政府第55次常务会议纪要 2026 年 2月4 日下午，区委副书记、区长李皓在天宁科技促进中心 2306 会议室，主持召开区政府第 5 5次常务会议。纪要如下： 一、会议审议了《 2026 年天宁区政府工作报告责任分解落实方案》和《 2026 年天宁区民生实事责任分解落实方案》 会议认为， 2026 年是“十五五”规划开局之年，做好政府各项工作至关重要。方案对年度政府工作和民生实事细化了举措、量化了目标、明确了分工，要对照","二〇二六年七月二十五日公开资料采集整理"
"135","区政府第54次常务会议纪要","2026-02-14","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2026/CFHMLBAH_0214/32988.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","概述： 2026年1月27日下午，区委副书记、区长李皓在天宁科技促进中心2306会议室，主持召开区政府第54次常务会议。纪要如下： 区政府第54次常务会议纪要 2026 年 1 月 27 日下午，区委副书记、区长李皓在天宁科技促进中心 2306 会议室，主持召开区政府第 54 次常务会议。纪要如下： 一、会议听取了 2025 年度表彰天宁区“优化营商环境 促进企业高质量发展”突出贡献奖先进集体和先进个人建议名单的汇报 会议认为，做好年度表彰工作既是对先进的褒奖，更是对全区干部队伍的动员和鼓劲。 会议要求： （ 1 ） 树导向 。 综合表彰工作要以赋能企业","二〇二六年七月二十五日公开资料采集整理"
"136","市政府第89次常务会议纪要","2026-02-11","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202602/1a28cdbeec6645539bfc92bae5c2ab61.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","《昆山市工业企业转贷应急资金管理办法》 修订 情况 ， 审议 了 《昆山市 “ 悦龄食堂 ” 管理办法（试行）》 。 会议议定以下意见： 一、传达学习贯彻苏州市安委会全体成员（扩大）会议精神 （ 一 ） 会议传达学习了苏州市安委会全体成员（扩大）会议精神。会议指出， 今年是“十五五”规划的开局之年，做好安全生产工作意义重大。要理念更新，加强对阶段性安全风险的系统性研判和规律性把握，加快安全治理向事前预防转型。要完善机制，持续推进“六化”建设， 健全 “ 五位一体 ” 工作体系，强化工作责任落实。要突出关键，扎实开展 “ 厂中厂 ” 、城镇燃气、高层建筑","二〇二六年七月二十五日公开资料采集整理"
"137","钟楼区政府2026年度第1次常务会议纪要","2026-02-04","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2026/FPKLLMMN_0303/24312.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2026年1月28日下午，在区机关815会议室，区长李德森主持召开区政府2026年度第1次常务会议，现纪要如下：一、会议审议了《2025年度钟楼区推动高质量发展先进集体和先进个人综合表彰名单》会议原则同意区委办提出的《2025年度钟楼区推动高质量发展先进集体和先进个人综合表彰名单》，作进一步修改完善后，提请区委常委会会议审议。二、会议审议了《政府工作报告主要目标任务和民生实事项目责任分解落实方案》会议强调，要压实责任闭环 钟楼区政府2026年度第1次常务会议纪要 〔2026〕第1期 2026年1月28日下午，在区机关815会议室，区长","二〇二六年七月二十五日公开资料采集整理"
"138","区政府第49次常务会议纪要","2026-02-03","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2026/BJLFPPJH_0211/78783.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","9次常务会议纪要 2026年1月29日上午，区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第49次常务会议，纪要如下： 一、传达学习贯彻市“两会”精神 会议指出，市“两会”为我们做好各项工作指明了前进方向、提供了重要遵循。政府系统要深入学习贯彻市“两会”精神，把思想和行动统一到王剑锋书记、周伟市长重要讲话精神和“两会”作出的重大部署上来。 会议强调，各地各部门要推动高质量发展，筑牢“挑大梁”的产业根基，做到抓产业、抓企业、抓项目、抓创新。要创造高品质生活，践行人民至上的价值追求，加快城市更新，优化公共服务，擦亮生态底色。要推进高效能治理，筑牢","二〇二六年七月二十五日公开资料采集整理"
"139","区政府第53次常务会议纪要","2026-01-28","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2026/CFHMLBAH_0128/32984.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","25年12月31日下午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第53次常务会议。纪要如下： 区政府第53次常务会议纪要 2025 年 12 月 31 日下午，区委副书记、副区长、代区长李皓在天宁科技促进中心 2306 会议室，主持召开区政府第 53 次常务会议。纪要如下： 一、会议审议了《 2026 年常州市天宁区人民政府工作报告》和《 2026 年常州市天宁区民生实事候选项目》 会议认为，区政府工作报告整体思路清晰、结构新颖、重点突出，有力回应了总书记强调的挑大梁 “四个着力点”的重大要求，系统梳理了“十四五”期","二〇二六年七月二十五日公开资料采集整理"
"140","区政府第52次常务会议纪要","2026-01-26","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2026/CFHMLBAH_0126/32983.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","25年12月20日上午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第52次常务会议。纪要如下： 区政府第52次常务会议纪要 2025 年 12 月 20 日上午，区委副书记、副区长、代区长李皓在天宁科技促进中心 2306 会议室，主持召开区政府第 52 次常务会议。纪要如下： 一、会议审议了《常州市天宁区国家生态文明建设示范区规划（修编）（ 2024 — 2030 年）》 会议认为，编制 该规划是树立和践行 “绿水青山就是金山银山”理念、推进全区生态文明建设、创建国家生态文明建设示范区的重要举措。 会议要求： （ 1","二〇二六年七月二十五日公开资料采集整理"
"141","区政府第48次常务会议纪要","2026-01-15","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2026/BJLFPPJH_0211/78782.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","次常务会议纪要 2026年1月8日下午，代理区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第48次常务会议，纪要如下： 一、传达学习市委办公室市政府办公室关于印发《关于切实发挥集中整治县级“主抓主战”作用的实施方案》的通知 会议强调，各级各部门要深入学习《实施方案》精神，对照方案要求，进一步强化区级统筹和督查指导，加强条块协同、联动攻坚，确保集中整治工作全域覆盖、全员参与、全力推进，切实发挥好区级在集中整治中的“主抓主战”作用，推动整治工作不断取得新成效。要持续深化集中整治，聚焦重点领域和关键环节，坚持态度不变、力度不减、重心不偏，深入剖析群","二〇二六年七月二十五日公开资料采集整理"
"142","市政府第88次常务会议纪要","2026-01-13","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202601/1474e7ab3a5f4cbf8f23d8bb830b8af2.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","事备选项目建议表》《关于昆山市 2025 年预算执行情况与 2026 年预算草案的报告》《政府工作报告》（送审稿） 。 会议议定以下意见： 一、听取关于新能源汽车充电基础设施 “ 一件事 ” 全链条安全治理的情况汇报 （ 一 ） 原则同意市工信局关于新能源汽车充电基础设施 “ 一件 事 ” 全链条安全治理的情况汇报。由市工信局根据会议讨论意见，抓好后续工作落实。 （ 二 ） 要守牢安全底线。将 “ 六化 ” 建设作为 新能源汽车充电基础设施安全治理 的方法论，紧盯居民小区、商业综合体、地下车库等重点部位，压实 运营方、自建方、物业方 主体责任，全力保障人","二〇二六年七月二十五日公开资料采集整理"
"143","市政府第87次常务会议纪要","2026-01-05","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202601/4c47cbb92a5d4083af8b54400fe76ca1.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","防治工作的情况汇报 ；审议了《昆山市安全生产领域举报奖励实施办法》《昆山市声环境功能区划分（ 2025 年修订版）》。 会议议定以下意见： 一、传达学习中共中央办公厅 国务院办公厅《关于做好 2026 年元旦春节期间有关工作的通知》精神 （ 一 ） 会议指出，要认真落实《通知》精神和上级工作要求，强化 “ 群众过节、干部过关 ” 意识，扎实做好困难群众帮扶、市场保供稳价、交通运输保障、安全生产、值守应急等工作，确保群众度过欢乐平安祥和的节日。 （ 二 ） 要狠抓落实。各位市领导要靠前指挥、率先垂范，各相关部门要压实责任、细化举措，把各项措施落实落细，全力","二〇二六年七月二十五日公开资料采集整理"
"144","区政府第47次常务会议纪要","2026-01-04","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2026/BJLFPPJH_0211/78781.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","务会议纪要 2025年12月23日下午，代理区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第47次常务会议，纪要如下： 一、集体学法：《常州市优化营商环境条例》 会议强调，各相关部门要将我区2026年营商环境工作要点与《条例》要求逐项对标，研究制定清晰可操作的实施细则。要坚持问题导向，围绕企业反映强烈的审批、融资、用工等难题，推动“高效办成一件事”从“能办”向“好办、快办”升级，着力解决“政策信息不对称、资源对接不顺畅、诉求响应不充分”等问题，强化惠企政策精准推送与“免申即享”机制。要持续深化武进营商环境品牌建设，形成一批可复制、有影响的武进","二〇二六年七月二十五日公开资料采集整理"
"145","钟楼区政府2025年度第14次常务会议纪要","2025-12-29","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2026/FPKLLMMN_0105/24078.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","效 内容概述： 2025年12月23日下午，在区机关815会议室，区长李德森主持召开区政府2025年度第14次常务会议，现纪要如下：一、会议听取了关于钟楼区2025年度生态环境保护工作情况的汇报会议强调，要持续深入打好污染防治攻坚战，在精准、科学、依法治污上下更大功夫，推动环境质量稳步提升。要着力推动发展方式绿色转型，鼓励企业节能降碳，争创更多近零碳园区和工厂，打造绿色低碳竞争优势。要全面压实责任，形成齐抓共管的长效机制。会议原则同意 钟楼区政府2025年度第14次常务会议纪要 〔2025〕第14期 2025年12月23日下午，在区机关815会议室，区长","二〇二六年七月二十五日公开资料采集整理"
"146","市政府第86次常务会议纪要","2025-12-26","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202512/ee6a55e15f6b4939a03d8cf51a536a4e.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","关于周庄镇安全生产工作的情况汇报 、 关于宗教领域安全生产工作的情况汇报 ， 学习《中华人民共和国未成年人保护法》 。 会议议定以下意见： 一、听取关于周庄镇安全生产工作的情况汇报 （一）原则同意 周庄镇关于 安全生产工作的情况汇报。由 周庄镇 根据会议讨论意见，抓好后续工作落实。 （二） 要增强忧患意识。 树牢底线思维、红线意识，压实各方责任、细化工作举措，全力抓好安全生产和消防安全各项工作，坚决防范遏制各类事故发生。 （三） 要靶向精准发力。 聚焦古镇景区、 酒店民宿、 “ 厂中厂 ” 、社会面小场所、群租房、民俗节庆活动等重点领域，精准排查隐患、","二〇二六年七月二十五日公开资料采集整理"
"147","钟楼区政府2025年度第13次常务会议纪要","2025-12-22","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2026/FPKLLMMN_0105/24077.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","效 内容概述： 2025年12月17日下午，在区机关815会议室，区长李德森主持召开区政府2025年度第13次常务会议，现纪要如下：一、会议听取了关于2025年度全区食品安全工作情况的报告会议强调，食品安全是民生底线，要坚持源头严防、过程严管、风险严控，聚焦学校食堂、养老领域餐饮、集配央厨等重点领域和关键环节，持续加大监管力度，坚决守护好人民群众“舌尖上的安全”。会议原则同意关于2025年度全区食品安全工作情况的报告，作进一步修改完善后， 钟楼区政府2025年度第13次常务会议纪要 〔2025〕第13期 2025年12月17日下午，在区机关815会议室，","二〇二六年七月二十五日公开资料采集整理"
"148","区政府第46次常务会议纪要","2025-12-19","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2026/BJLFPPJH_0104/78507.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","务会议纪要 2025年11月28日下午，代理区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第46次常务会议，纪要如下： 一、集体学纪：传达学习全省集中整治工作座谈会会议精神 会议强调，要筑牢风险防线，提升工作主动性，建立“风险预警+主动排查”机制，聚焦工程建设、养老医疗、乡村振兴等群众反映强烈的重点领域，将治理关口前移，从源头上防范和化解风险。要深化以案促治，深挖典型案例背后的制度漏洞和主体责任缺失问题，推动举一反三，实现“查处一案、警示一片、治理一域”的系统性修复效果。要深化以案促治，完善制度规范，压实各方责任，构建长效管理机制，切实提升系","二〇二六年七月二十五日公开资料采集整理"
"149","区政府第51次常务会议纪要","2025-12-09","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2025/CFHMLBAH_1209/32792.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","25年11月22日上午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第51次常务会议。纪要如下： 区政府第51次常务会议纪要 202 5 年 11 月 22 日 上 午， 区委副书记、副区长、代 区长 李皓 在天宁科技促进中心 2306 会议室，主持召开区政府第 51 次常务会议。纪要如下： 一、会议审议了《天宁区贯彻落实第三轮中央生态环境保护督察报告整改方案》 会议认为，中央生态环境保护督察是习近平总书记亲自谋划、亲自部署、亲自推动的一项重点工作，要切实抓好督察整改，全力推进生态文明建设和生态环境保护工作。 会议要求：","二〇二六年七月二十五日公开资料采集整理"
"150","市政府第85次常务会议纪要","2025-12-01","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202512/061280e677bf44adb15e41d4ca1651ee.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","治理工作的情况汇报 ， 审议《关于加快推进昆山市新能源汽车推广应用工作的实施意见（ 2026 — 2028 年）》 。 会议议定以下意见： 一、听取关于 淀山湖 镇安全生产工作的情况汇报 （一）原则同意 淀山湖镇关于 安全生产工作的情况汇报。由 淀山湖镇 根据会议讨论意见，抓好后续工作落实。 （二）要强化风险研判。坚决克服经验主义、麻痹思想，全面加强对季节性、阶段性风险的系统性研判和规律性把握，将安全措施想在前、做在前，严防各类事故发生。 （三）要精准防范风险。紧盯 “ 厂中厂 ” 、集宿区、养老机构等重点场所，以及用火用电用气等重点领域， 常态化 用好","二〇二六年七月二十五日公开资料采集整理"
"151","区政府第45次常务会议纪要","2025-11-20","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2025/BJLFPPJH_1201/78348.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","务会议纪要 2025年10月18日上午，代理区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第45次常务会议，纪要如下： 一、集体学法：《地方党政领导干部生态环境保护责任制规定（试行）》 会议强调，各地各部门要深刻学习领会《规定》精神，把握中央关于生态文明建设战略部署核心要义，坚决扛起生态保护政治责任。要健全责任体系，坚决落实“党政同责”和“三管三必须”原则，对标《规定》要求，细化完善生态环境保护责任清单，构建并完善党委领导、政府负责、部门协同、社会参与的生态保护工作格局。要严格监督考核，树立实干导向、从严基调，将责任制落实情况纳入领导干部考核","二〇二六年七月二十五日公开资料采集整理"
"152","区政府第50次常务会议纪要","2025-11-14","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2025/CFHMLBAH_1114/32791.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","25年10月16日下午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第50次常务会议。纪要如下： 区政府第50次常务会议纪要 202 5 年 10 月 16 日 下 午， 区委副书记、副区长、代 区长 李皓 在天宁科技促进中心 2306 会议室，主持召开区政府第 50 次常务会议。纪要如下： 一、会议审议了《关于进一步规范政府投资项目管理的意见》 会议认为，制定该意见，能够进一步规范政府投资项目决策和立项管理，加强政府性投资项目决策风险防控，提高政府投资效率。 会议要求： （ 1 ）精准谋划。 政府投资项目要坚持 “必要","二〇二六年七月二十五日公开资料采集整理"
"153","市政府第84次常务会议纪要","2025-11-06","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202511/61c785472c2f4178bf1b1e2bc640f7df.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","关于全市危废处置及辐射领域安全防范的情况汇报 ， 学习考古前置新政 、 《中华人民共和国突发公共卫生事件应对法》 。 会议议定以下意见： 一、传达学习 党的二十届四中全会精神 （一）会议传达学习了党的二十届四中全会精神。会议指出，此次全会是在向第二个百年奋斗目标进军的新征程上举行的一次 十分重要的会议，必将对党和国家事业发展产生重大而深远的影响。 （二）要学深悟透，准确把握党的二十届四中全会的重大意义。把学习贯彻全会精神作为当前和今后一个时期的重大政治任务，主动对标对表、一体学习贯彻、自觉服务大局，奋力在中国式现代化建设新征程中勇当探索者、引领者 。","二〇二六年七月二十五日公开资料采集整理"
"154","区政府第49次常务会议纪要","2025-10-30","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2025/CFHMLBAH_1030/32672.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","025年9月30日下午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第49次常务会议。纪要如下： 区政府第49次常务会议纪要 202 5 年 9 月 30 日 下 午， 区委副书记、副区长、代区长李皓 在天宁科技促进中心 2306 会议室，主持召开区政府第 49 次常务会议。纪要如下： 一、会议听取了关于实施东青片区定点商品住宅房屋置换天宁区所持住宅现房活动（第二期）的汇报 会议认为，开展定点商品住宅房屋置换天宁区所持住宅现房活动，有利于缩小安置缺口、提升安置效率、节约过渡资金。 会议要求： （ 1 ） 规范程序。 细化","二〇二六年七月二十五日公开资料采集整理"
"155","市政府第83次常务会议纪要","2025-10-16","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202510/cb57d8332db5454da60723d2011d7179.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","全防范的情况汇报 ， 审议《关于助推经济高质量发展的若干政策意见》《关于发展战略新兴产业及未来产业的若干政策意见》 。 会议议定以下意见： 一、听取关于陆家镇安全生产工作的情况汇报 （一）原则同意 陆家镇关于陆家镇安全生产工作的情况汇报。由陆家镇根据会议讨论意见，抓好后续工作落实。 （二）要坚持 “ 紧 ” 的意识。 认真汲取事故教训， 坚决杜绝经验主义、麻痹思想，举一反三、查漏补缺，全面落实安全生产各项举措，严防各类事故发生。 陆家镇要加快D级危房清零，严格落实“两通两分”（消防通道、油烟通道、人车分离、人瓶分离）要求，强化风险源头防控。 （三）要加大","二〇二六年七月二十五日公开资料采集整理"
"156","区政府第48次常务会议纪要","2025-10-16","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2025/CFHMLBAH_1016/32671.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","025年8月23日下午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第48次常务会议。纪要如下： 区政府第48次常务会议纪要 202 5 年 8 月 23 日 下 午， 区委副书记、副区长、代 区长 李皓 在天宁科技促进中心 2306 会议室，主持召开区政府第 48 次常务会议。纪要如下： 一、会议审议了《 2025 年度政府投资建设项目计划调整报告》 会议强调，要严格按照政府投资项目管理办法等相关规定，按照 “必须必要”原则，规范做好项目增补工作，落实资金来源，强化项目管理，按时保质完成项目建设，尽快投用见效。同时，要","二〇二六年七月二十五日公开资料采集整理"
"157","区政府第47次常务会议纪要","2025-09-30","常州市天宁区人民政府网站","http://www.cztn.gov.cn/html/cztn/2025/CFHMLBAH_0930/32670.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=tianning","栏目链接标题含会议纪要","","正文结构命中","025年7月19日上午，区委副书记、副区长、代区长李皓在天宁科技促进中心2306会议室，主持召开区政府第47次常务会议。纪要如下： 区政府第47次常务会议纪要 202 5 年 7 月 19 日 上 午， 区委副书记、副区长、代 区长 李皓 在天宁科技促进中心 2306 会议室，主持召开区政府第 47 次常务会议。纪要如下： 一、听取《关于收回创志科技（江苏）股份有限公司舜中路北侧、舜河西路西侧地块土地使用权的情况汇报》 会议原则同意收回创志科技舜中路北侧、舜河西路西侧地块国有土地使用权，相关部门要依法依规、按程序办理报批手续。 二、会议审议了《常州市天宁","二〇二六年七月二十五日公开资料采集整理"
"158","钟楼区政府2025年度第9次常务会议纪要","2025-09-29","常州市钟楼区人民政府网站","http://www.zhonglou.gov.cn/html/czzl/2026/FPKLLMMN_0105/24076.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=zhonglou","栏目链接标题含会议纪要","","正文结构命中","有效 内容概述： 2025年9月23日下午，在区机关815会议室，区长李德森主持召开区政府2025年度第9次常务会议，现纪要如下：一、会议审议了《常州市钟楼区人民政府关于划定陆生野生动物禁猎区和禁猎期等禁猎事项的通告》会议强调，要强化宣传引导，切实提升全社会保护野生动物的自觉性；要严格执法监管，进一步压实责任链条，健全“划、管、护、打”一体化机制。会议原则同意钟楼资规分局提出的《常州市钟楼区人民政府关于划定陆生野生动物禁猎区和禁猎 钟楼区政府2025年度第9次常务会议纪要 〔2025〕第9期 2025年9月23日下午，在区机关815会议室，区长李德森主","二〇二六年七月二十五日公开资料采集整理"
"159","市政府第82次常务会议纪要","2025-09-23","昆山市人民政府网站","https://www.ks.gov.cn/kss/zfcwhy/202509/9a511d3a61dc4cc0b858730c4f0f9899.shtml","https://www.ks.gov.cn/kss/zfcwhy/xxgk_list.shtml","栏目链接标题含会议纪要","","正文结构命中","听取关于周市镇安全生产工作的情况汇报，审议《昆山市推动具身智能产业创新发展行动方案（ 2025 — 2027 年）》。 会议议定以下意见： 一、听取关于周市镇安全生产工作的情况汇报 （一）原则同意周市镇关于周市镇安全生产工作的情况汇报。由周市镇根据会议讨论意见，抓好后续工作落实。 （二）要绷紧思想之弦。坚决克服经验主义、麻痹思想，纵深推进 “ 六化 ” 建设、压紧压实 “ 三个责任 ” ，真正把安全生产工作放在心上抓在手上。针对国庆、中秋假期临近及高温、强对流等极端天气多发的复杂形势，要组织节前安全大排查大整治，完善应急预案、抓好培训演练，确保节日期间安","二〇二六年七月二十五日公开资料采集整理"
"160","区政府第44次常务会议纪要","2025-09-18","常州市武进区人民政府网站","http://www.wj.gov.cn/html/czwj/2025/BJLFPPJH_1031/78192.html","https://www.changzhou.gov.cn/gova/wjk.php?click=m2_2&dept_id=0&keytype=title&keyword=%E4%BC%9A%E8%AE%AE%E7%BA%AA%E8%A6%81&page=1&sel_year=0&tc_id=0&tc_name=&website=wujin","栏目链接标题含会议纪要","","正文结构命中","次常务会议纪要 2025年9月5日下午，代理区长薛晔在行政中心1号楼一楼西侧圆桌会议室，主持召开区政府第44次常务会议，纪要如下： 一、集体学纪：传达学习中共中央、国务院印发修订后的《党政机关厉行节约反对浪费条例》精神 会议指出，学习贯彻《条例》是落实中央八项规定精神、深化作风建设的重要举措，对弘扬艰苦奋斗优良传统、推进廉洁政府建设具有重要意义。 会议强调，各级各部门要对标《条例》最新要求，持续完善政府支出各领域操作细则，确保标准清晰、程序严密、约束刚性；要严格监管，强化关键环节的预算约束和过程监控，健全预算执行全过程动态监控机制。各级领导干部要带头表率","二〇二六年七月二十五日公开资料采集整理"
